[2023-01-30 21:51:35] - Loading tables...
[2023-01-30 21:51:35] - Converting table viiw_commentmeta
[2023-01-30 21:51:35] - Converting table viiw_comments
[2023-01-30 21:51:35] - Converting table viiw_links
[2023-01-30 21:51:35] - Converting table viiw_options
[2023-01-30 21:51:35] - Converting table viiw_postmeta
[2023-01-30 21:51:35] - Converting table viiw_posts
[2023-01-30 21:51:35] - Converting table viiw_term_relationships
[2023-01-30 21:51:35] - Converting table viiw_term_taxonomy
[2023-01-30 21:51:35] - Converting table viiw_termmeta
[2023-01-30 21:51:35] - Converting table viiw_terms
[2023-01-30 21:51:35] - Converting table viiw_usermeta
[2023-01-30 21:51:35] - Converting table viiw_users
